,Player,Team,Number,Position,Height,Weight,Last Attended,Country
103,Nic Claxton,BKN,33,C,6-11,215 lbs,Georgia,USA
104,Donovan Clingan,POR,,C,7-2,280 lbs,Connecticut,USA
105,Noah Clowney,BKN,21,F,6-9,210 lbs,Alabama,USA
106,Amir Coffey,LAC,7,G-F,6-7,210 lbs,Minnesota,USA
107,Isaiah Collier,UTA,,G,6-4,210 lbs,Southern California,USA
108,John Collins,UTA,20,F-C,6-9,226 lbs,Wake Forest,USA
109,Zach Collins,SAS,23,F-C,6-11,250 lbs,Gonzaga,USA
110,Mike Conley,MIN,10,G,6-0,175 lbs,Ohio State,USA
111,Pat Connaughton,MIL,24,G,6-5,209 lbs,Notre Dame,USA
112,Bilal Coulibaly,WAS,0,G,6-8,195 lbs,Metropolitans 92,France
113,Ricky Council IV,PHI,14,G,6-6,207 lbs,Arkansas,USA
114,Torrey Craig,CHI,13,F,6-5,221 lbs,South Carolina Upstate,USA
115,Isaiah Crawford,SAC,,F,6-6,220 lbs,Louisiana Tech,USA
116,Jae Crowder,MIL,99,F,6-6,235 lbs,Marquette,USA
117,Cade Cunningham,DET,2,G,6-6,220 lbs,Oklahoma State,USA
118,Seth Curry,CHA,30,G,6-1,185 lbs,Duke,USA
119,Stephen Curry,GSW,30,G,6-2,185 lbs,Davidson,USA
120,Tristan da Silva,ORL,,F,6-8,217 lbs,Colorado,Germany
121,Pacome Dadiet,NYK,,F,6-8,210 lbs,Ratiopharm Ulm,France
122,Dyson Daniels,ATL,11,G,6-7,199 lbs,NBA G League Ignite,Australia
123,N'Faly Dante,HOU,,C,7-0,230 lbs,Oregon,Mali
124,Anthony Davis,LAL,3,F-C,6-10,253 lbs,Kentucky,USA
125,Johnny Davis,WAS,1,G,6-4,195 lbs,Wisconsin,USA
126,JD Davison,BOS,20,G,6-1,195 lbs,Alabama,USA
127,DeMar DeRozan,SAC,10,G-F,6-6,220 lbs,Southern California,USA
128,Moussa Diabate,CHA,25,F,6-9,210 lbs,Michigan,France
129,Gradey Dick,TOR,1,G-F,6-6,200 lbs,Kansas,USA
130,Ousmane Dieng,OKC,13,F,6-9,185 lbs,New Zealand Breakers,France
131,Rob Dillingham,MIN,4,G,6-3,175 lbs,Kentucky,USA
132,Spencer Dinwiddie,DAL,26,G,6-5,215 lbs,Colorado,USA
133,Donte DiVincenzo,NYK,0,G,6-4,203 lbs,Villanova,USA
134,Nikola Djurisic,ATL,,G,6-8,214 lbs,Mega Basket,Belgium
135,Marcus Domask,CHI,,G-F,6-6,215 lbs,Illinois,USA
136,Luka Doncic,DAL,77,F-G,6-7,230 lbs,Real Madrid,Slovenia
137,Luguentz Dort,OKC,5,G,6-4,220 lbs,Arizona State,Canada
138,Ayo Dosunmu,CHI,11,G,6-5,200 lbs,Illinois,USA
139,Jeff Dowtin Jr.,PHI,11,G,6-3,177 lbs,Rhode Island,USA
140,PJ Dozier,MIN,35,G-F,6-6,205 lbs,South Carolina,USA
141,Henri Drell,POR,77,F,6-9,220 lbs,Victoria Libertas,Estonia
142,Andre Drummond,PHI,5,C,6-11,279 lbs,Connecticut,USA
143,Chris Duarte,CHI,3,G,6-5,190 lbs,Oregon,Dominican Republic
144,Alex Ducas,OKC,,G,6-7,220 lbs,Mount Saint Mary's,USA
145,David Duke Jr.,SAS,28,G,6-4,204 lbs,Providence,USA
146,Kris Dunn,LAC,8,G,6-3,205 lbs,Providence,USA
147,Ryan Dunn,PHX,0,F,6-8,216 lbs,Virginia,USA
